TRADE | BUY=3 SELL=2 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=5 SELL=4 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=7 SELL=6 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=9 SELL=8 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=13 SELL=12 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=15 SELL=14 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=17 SELL=16 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=19 SELL=18 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=23 SELL=22 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=25 SELL=24 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=27 SELL=26 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=29 SELL=28 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=33 SELL=32 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=35 SELL=34 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=37 SELL=36 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=39 SELL=38 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=43 SELL=42 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=45 SELL=44 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=47 SELL=46 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=49 SELL=48 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=53 SELL=52 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=55 SELL=54 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=57 SELL=56 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=59 SELL=58 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=63 SELL=62 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=65 SELL=64 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=67 SELL=66 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=69 SELL=68 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=73 SELL=72 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=75 SELL=74 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=77 SELL=76 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=79 SELL=78 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=83 SELL=82 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=85 SELL=84 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=87 SELL=86 SYMBOL=AAPL PRICE=105 QTY=10
